0	2	1	1	1	1	141	309	251	132
0	2	1	1	1	1	174	167	295	152
0	2	1	1	1	1	0	60	327	100
0	2	1	1	1	1	30	30	340	180
0	2	1	1	1	1	236	309	305	207
0	2	1	1	1	1	116	167	235	132
0	2	1	1	1	1	147	167	245	132
1	2	1	1	1	1	10	0	50	0
1	2	1	1	1	1	0	0	150	150
1	2	1	1	1	1	40	30	120	35
1	2	1	1	1	1	0	100	50	0
1	2	1	1	1	1	20	46	37	0
1	2	1	1	1	1	50	0	200	200
1	2	1	1	1	1	230	210	440	100
1	2	1	1	1	1	70	10	110	150
1	2	1	1	1	1	0	107	73	0
1	2	1	1	1	1	250	65	300	0
1	2	1	1	1	1	110	50	270	160
1	2	1	1	1	1	300	50	700	150
1	2	1	1	1	1	20	100	140	200
1	2	1	1	1	1	0	0	0	0
1	2	1	1	1	1	172	234	286	167
1	2	0	1	1	1	0	0	0	0
0	2	1	0	1	1	0	0	160	120
0	2	1	0	1	1	147	212	245	132
1	2	1	0	1	1	0	0	40	100
1	2	1	0	1	1	50	230	100	0
1	2	1	0	1	1	40	66	73	25
1	2	1	0	1	1	130	20	0	0
1	2	1	0	1	1	110	30	170	50
1	2	1	0	1	1	237	195	258	132
1	2	1	0	1	1	207	194	322	132
1	2	1	0	1	1	0	0	0	0
1	2	1	0	1	1	0	0	210	100
1	2	0	0	1	1	207	184	245	132
1	2	1	0	1	1	60	130	340	300
1	2	1	0	1	1	50	150	225	10
1	2	1	0	1	1	305	0	585	380
0	2	1	1	0	1	238	194	467	142
0	2	1	0	0	1	200	330	40	10
1	2	1	0	0	1	260	420	180	110
1	2	1	0	0	1	70	0	0	70
1	2	1	0	0	1	91	10	10	0
1	2	1	0	0	1	197	309	245	132
1	2	1	0	0	1	0	0	0	0
0	2	1	1	1	0	0	0	190	130
0	2	1	1	1	0	147	331	416	162
1	2	1	1	1	0	500	130	257	0
1	2	1	1	1	0	300	30	230	200
1	2	1	1	1	0	170	380	170	100
1	2	1	1	1	0	120	235	407	110
1	2	1	1	1	0	196	195	234	142
1	2	1	1	1	0	234	167	317	220
1	2	0	1	1	0	198	166	447	152
0	2	1	0	1	0	0	0	0	0
0	2	1	0	1	0	130	70	167	100
0	2	1	0	1	0	121	210	226	107
0	2	1	0	1	0	155	199	331	132
0	2	0	0	1	0	140	235	200	55
1	2	1	0	1	0	20	0	40	110
1	2	1	0	1	0	70	0	167	280
1	2	1	0	1	0	143	219	271	132
1	2	1	0	1	0	197	185	341	132
1	2	1	0	1	0	180	40	280	0
1	2	1	0	1	0	190	30	320	340
1	2	1	0	1	0	0	0	0	0
1	2	0	0	1	0	180	400	37	0
